"year","age","sex","group","chronic_liver_disease","poisonings","suicides","vehicle_transport","alcohol_induced","assault_homicide","drug_induced","legal_intervention","motor_accidents","all_cause","population"
1999,44,"Female","Hispanic",11,6,4,19,5,6,8,0,18,257,193353
1999,44,"Female","White Non-Hispanic",86,115,131,137,77,47,170,0,126,2854,1.58231e+006
1999,44,"Male","Black Non-Hispanic",50,95,28,54,52,75,114,4,49,1652,233109
1999,44,"Male","Hispanic",70,48,27,42,53,22,59,1,38,610,199876
1999,44,"Male","White Non-Hispanic",249,290,427,340,298,80,382,2,311,5000,1.57846e+006
1999,45,"Female","Black Non-Hispanic",38,35,9,27,40,20,51,0,24,1121,261358
1999,45,"Female","Hispanic",15,6,3,13,7,5,9,0,13,304,186011
1999,45,"Female","White Non-Hispanic",104,107,121,142,100,26,159,0,128,3000,1.58616e+006
1999,45,"Male","Black Non-Hispanic",61,79,31,67,75,67,102,0,64,1658,230347
1999,45,"Male","Hispanic",61,45,31,45,48,25,56,1,41,627,187469
1999,45,"Male","White Non-Hispanic",293,284,420,360,305,73,366,2,318,5304,1.58023e+006
1999,46,"Female","Black Non-Hispanic",29,26,8,19,24,16,38,0,19,1093,239839
1999,46,"Female","Hispanic",10,4,3,12,9,9,5,0,11,277,176900
1999,46,"Female","White Non-Hispanic",99,102,114,137,101,33,153,0,124,3162,1.51413e+006
1999,46,"Male","Black Non-Hispanic",67,87,28,57,71,56,102,2,52,1804,205309
1999,46,"Male","Hispanic",81,46,28,36,71,19,66,0,33,686,176347
1999,46,"Male","White Non-Hispanic",324,238,400,314,328,67,312,5,267,5647,1.49296e+006
1999,47,"Female","Black Non-Hispanic",33,21,7,22,29,18,30,0,21,1177,238662
1999,47,"Female","Hispanic",17,4,4,11,11,6,6,0,10,279,160132
1999,47,"Female","White Non-Hispanic",105,78,125,134,96,28,133,0,126,3271,1.50172e+006
1999,47,"Male","Black Non-Hispanic",81,63,18,76,79,48,79,0,71,1883,204123
1999,47,"Male","Hispanic",70,34,15,33,59,22,43,0,29,619,161425
1999,47,"Male","White Non-Hispanic",311,213,389,326,337,63,274,0,277,5864,1.48453e+006
1999,48,"Female","Black Non-Hispanic",28,17,2,18,24,13,25,0,18,1212,224588
1999,48,"Female","Hispanic",11,8,5,14,10,6,10,0,14,343,156442
1999,48,"Female","White Non-Hispanic",89,95,111,121,79,17,145,0,115,3379,1.41339e+006
1999,48,"Male","Black Non-Hispanic",59,68,21,64,66,56,90,1,56,1944,190260
1999,48,"Male","Hispanic",76,20,13,35,71,25,23,0,31,639,156570
1999,48,"Male","White Non-Hispanic",357,175,348,317,358,70,222,4,280,6082,1.39259e+006
1999,49,"Female","Black Non-Hispanic",22,13,4,26,25,12,21,0,25,1262,228277
1999,49,"Female","Hispanic",16,6,2,12,12,7,7,0,11,351,154444
1999,49,"Female","White Non-Hispanic",126,69,121,120,111,23,112,0,108,3714,1.44034e+006
1999,49,"Male","Black Non-Hispanic",89,65,16,60,80,58,85,1,53,1977,197149
1999,49,"Male","Hispanic",66,26,17,34,60,9,29,0,31,642,149638
1999,49,"Male","White Non-Hispanic",362,185,319,300,326,55,230,3,268,6551,1.41907e+006
1999,50,"Female","Black Non-Hispanic",23,19,1,20,24,11,25,0,19,1290,221793
1999,50,"Female","Hispanic",10,1,5,12,8,3,6,0,11,325,149614
1999,50,"Female","White Non-Hispanic",106,56,113,109,86,19,104,0,107,4021,1.44456e+006
1999,50,"Male","Black Non-Hispanic",59,50,23,58,66,31,59,2,53,2024,191201
1999,50,"Male","Hispanic",63,26,14,36,52,9,31,1,35,643,147876
1999,50,"Male","White Non-Hispanic",369,121,311,269,334,67,167,3,241,6787,1.42419e+006
1999,51,"Female","Black Non-Hispanic",24,8,2,16,21,11,11,0,15,1265,198800
1999,51,"Female","Hispanic",12,7,7,11,7,1,13,0,11,373,135594
1999,51,"Female","White Non-Hispanic",115,56,102,113,84,29,91,1,106,4560,1.41658e+006
1999,51,"Male","Black Non-Hispanic",71,40,19,42,72,41,60,2,37,1999,168303
1999,51,"Male","Hispanic",61,17,21,30,57,9,27,1,24,658,130620
1999,51,"Male","White Non-Hispanic",368,96,345,297,367,56,146,4,269,7472,1.38838e+006
1999,52,"Female","Black Non-Hispanic",29,13,4,12,28,6,25,0,12,1367,194698
1999,52,"Female","Hispanic",12,7,3,13,5,2,10,0,13,362,135755
1999,52,"Female","White Non-Hispanic",138,51,111,123,99,23,97,0,109,5239,1.56032e+006
1999,52,"Male","Black Non-Hispanic",62,44,12,41,63,27,53,0,38,1990,165394
